date,exercise_type,n_rows,n_cols,n_series,total_time_ms,time_per_series_ms
2026-04-19 09:54:05,Word search,5,5,5,10000,2000.0
2026-04-19 09:54:36,Word search,3,3,5,5600,1120.0
